nh,param_bound,seed,n_params,popsize,maxiter,fevals,ncores,time_sec,val_nll,auc,bkg_rejection_95,final_valid_fraction,mean_valid_fraction,status
4,8.0,4,44,15,200,,8,73.45944333076477,1000000000.0,,,,,train_failed
4,8.0,5,44,15,200,3000,8,41.148290395736694,6.168435747622725,0.8506342841304348,0.55688,0.8,0.6573333333333333,ok
2,4.0,1,27,13,230,2990,8,33.36711812019348,4.367418776780841,0.9301923607608695,0.74291,1.0,0.9190635451505017,ok
2,4.0,2,27,13,230,2990,8,33.837263107299805,4.640083731776819,0.9093760903260869,0.62335,1.0,0.954180602006689,ok
2,4.0,3,27,13,230,2990,8,33.48240542411804,5.07976496894627,0.8885245814130434,0.57176,1.0,0.903010033444816,ok
2,4.0,4,27,13,230,2990,8,32.55147075653076,4.629029438035863,0.9153401559782608,0.66021,1.0,0.9264214046822742,ok
2,4.0,5,27,13,230,2990,8,32.72000789642334,4.755733036761272,0.9034911026086956,0.62254,1.0,0.9260869565217391,ok
2,6.0,1,27,13,230,2990,8,31.57856059074402,5.323132848753777,0.8734158847826088,0.53366,1.0,0.8772575250836121,ok
2,6.0,2,27,13,230,2990,8,33.415446281433105,4.849530172271402,0.8967443709782608,0.57223,1.0,0.9150501672240803,ok
2,6.0,3,27,13,230,2990,8,32.83177304267883,5.089277624781316,0.8871136090217391,0.57581,1.0,0.8953177257525085,ok
2,6.0,4,27,13,230,2990,8,31.984548807144165,3.937767153137947,0.9176738502173913,0.60697,1.0,0.9157190635451505,ok
