nh,param_bound,run,val_nll,auc,time_sec,status
3,12,1,4.6672,0.9069,92.4,ok
3,12,2,5.7972,0.847,79.5,ok
3,12,3,5.9588,0.8692,229.5,ok
3,12,4,4.6017,0.8979,88.5,ok
3,12,5,5.1031,0.9154,150.0,ok
3,13,1,5.5188,0.8892,100.6,ok
3,13,2,3.9677,0.9282,87.9,ok
3,13,3,4.2035,0.8964,84.6,ok
3,13,4,4.7428,0.9141,84.9,ok
3,13,5,6.4166,0.8247,294.0,ok
3,14,1,3.9697,0.922,241.5,ok
3,14,2,4.0971,0.9181,87.9,ok
3,14,3,4.2968,0.9112,76.7,ok
3,14,4,4.5063,0.9222,98.9,ok
3,14,5,7.0638,0.8381,103.1,ok
3,15,1,4.2761,0.9367,93.8,ok
3,15,2,5.2156,0.9029,84.5,ok
3,15,3,5.7157,0.8359,2107.8,ok
3,15,4,7.712,0.8279,94.4,ok
3,15,5,6.0281,0.8612,83.6,ok
